Id,User Id,Mentions,Hashtags,Filtered Text,Polarity,Subjectivity,Compound Score,Cluster Label,,
1.25E+18,144103123,WeBankerss,,want ur recognit want protect polic beat banker want protect custom hec,0.2,0.1,-0.4588,0,,
1.25E+18,881181396,BaronStrucker,,f incens see video white kid endur last yr integr school,0,0.033333333,-0.4588,0,,
1.25E+18,945260647,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,761490614,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,2355874826,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,9.60E+17,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,397337737,"NannyPrivate, BorisJohnson, GOVUK",,employ interpret guidelin meet need nanni threaten,0,0,-0.4588,0,,
1.25E+18,1116387174,SunArsenal,,ashley cole attack home gang mask robber stole jewelleri,0,0,-0.4588,0,,
1.25E+18,149831729,Satyanewshi,,cpm back trade union citu leader zakir husain two congress worker shakir pk shereef arrest instig mig,0,0,-0.4588,0,,
1.25E+18,1.14E+18,KDanielfancam,"SpongeBob, 스폰지밥",music bank jealou,0,0,-0.4588,0,,
1.25E+18,8.08E+17,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,945002526,gigisdeadd,,men gf x prettier amp still audac disrespect sir go prison,0,0,-0.4588,0,,
1.25E+18,1.02E+18,wrkclasshistory,OtD,mar men includ duti polic attack patron worker peg place lesbian bar san,0,0,-0.4588,0,,
1.25E+18,3210066961,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,9.22E+17,dl704,,weedman brother hit kik told saw vid brother phone link hour later abandon ho,0,0,-0.4588,0,,
1.25E+18,1.09E+18,CarlZha,"HongKongProtests, HongKongProtesters",see western media coverag beat woman,0,0,-0.4588,0,,
1.25E+18,1.14E+18,"ArthurVallejomd, YouTube",,contagion anatomi global pandem via yet seen movi spo,0,0,-0.4588,0,,
1.25E+18,7.32E+17,gigisdeadd,,men gf x prettier amp still audac disrespect sir go prison,0,0,-0.4588,0,,
1.25E+18,1726553954,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,9.67E+17,MAliMirza1,,journalist amp anchor also mafia like lawyer mafia say anyth irrespons critic,0,0,-0.4588,0,,
1.25E+18,1.19E+18,"PresMon75, SpeakerPelosi, realDonaldTrump",,u r disgrac tear sotu speech despic amp anti american find comfort know,0,0,-0.4588,0,,
1.25E+18,7.76E+17,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,1.05E+18,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,1574919516,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,9.60E+17,CarlZha,"HongKongProtests, HongKongProtesters",see western media coverag beat woman,0,0,-0.4588,0,,
1.25E+18,1.24E+18,robkajiwara,,peopl critic china allegedli silenc whistleblow doctor li wenliang prove,-0.1,0.1,-0.4588,0,,
1.25E+18,7.73E+17,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,7.97E+17,"NashikNews, SPNashikRural",,migrant quarantin nashik aim reach home die tri fyi via,0,0,-0.4588,0,,
1.25E+18,1.04E+18,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,1.21E+18,satkabir_,HowToEnd_CoronaPandemic,condit worsen iran itali america india spain except china covid done,0,0,-0.4588,0,,
1.25E+18,1.19E+18,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,302759450,sloaneguthrie,,yeah leo get szn piss,0,0,-0.4588,0,,
1.25E+18,9.92E+17,PastorJohnHagee,,god break chain enslav,0,0,-0.4588,0,,
1.25E+18,1.25E+18,coreczkatatusia,,kill anya like mother way world,-0.2,0,-0.4588,0,,
1.25E+18,3021635346,OnlyBiggBoss,ShehnaazGill,wat happen one vs vs jealou contsnt bb speciali asanskari ser,0,0,-0.4588,0,,
1.25E+18,1.24E+18,CarlZha,"HongKongProtests, HongKongProtesters",see western media coverag beat woman,0,0,-0.4588,0,,
1.25E+18,3067655587,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,3298179036,paulwaldman1,,republican look made us parti everi immor decis everi trump screwup even trump presidenc,0,0,-0.4588,0,,
1.25E+18,237237694,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,44278640,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,91227315,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,1.24E+18,BaronStrucker,,f incens see video white kid endur last yr integr school,0,0.033333333,-0.4588,0,,
1.25E+18,1.25E+18,"jimtanwall, bbrightvc",talkwithBright,jealou someon alreadi notic twitter lt,0,0,-0.4588,0,,
1.25E+18,572508734,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,1572327769,storkyboy7,covidceilidh,finlay maclennan lord lovat lament,0,0,-0.4588,0,,
1.25E+18,7.09E+17,Amansha24,,home delhi pollut citi world climat chang situat realiti cli,0,0,-0.4588,0,,
1.25E+18,987911204,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,1714963087,TABryant_,,stay home guy day stay home team defeat viru,0,0,-0.4588,0,,
1.25E+18,1.21E+18,__RonB,,one thing leav broke,0,0,-0.4588,0,,
1.25E+18,28971175,bysarahayoub,,devot husband murder wive,0,0,-0.4588,0,,
1.25E+18,32087472,gigisdeadd,,men gf x prettier amp still audac disrespect sir go prison,0,0,-0.4588,0,,
1.25E+18,1602383120,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,7.58E+17,gigisdeadd,,men gf x prettier amp still audac disrespect sir go prison,0,0,-0.4588,0,,
1.25E+18,2844702561,Aunty_Les,,timaya use poverti sing plantain boy peopl want compar,0,0,-0.4588,0,,
1.25E+18,2846070407,Hoodville_,,savag said thought ac ice,0,0,-0.4588,0,,
1.25E+18,7.07E+17,SophNar0747,,thought prayer go famili friend roommat trap isol writer,-0.2,0,-0.4588,0,,
1.25E+18,3249161332,Aunty_Les,,timaya use poverti sing plantain boy peopl want compar,0,0,-0.4588,0,,
1.25E+18,7.07E+17,"SmokingSkills_, Uppolice, MrityunjayUP, neojanelane",,sir ladi wish death cm yogi adityanath book und,0,0,-0.4588,0,,
1.25E+18,1.12E+18,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,360779193,BITO_WALE,,forbidden close masjid order protect life forbidden muslim law count,0,0,-0.4588,0,,
1.25E+18,4174929194,"abbievillamil, iamkarendavila, officialqcmayor",,heartbreak deserv treatment polic militari,-0.1,0.1,-0.4588,0,,
1.25E+18,1.23E+18,OnlyBiggBoss,ShehnaazGill,wat happen one vs vs jealou contsnt bb speciali asanskari ser,0,0,-0.4588,0,,
1.25E+18,2903993598,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,2792869419,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,1350707810,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,7.70E+17,gigisdeadd,,men gf x prettier amp still audac disrespect sir go prison,0,0,-0.4588,0,,
1.25E+18,521006217,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,851647632,"FOXSportsAsia, CH14_",,day rememb april fool joke struck four year ago,0,0,-0.4588,0,,
1.25E+18,622644430,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,1.22E+18,ggiittiikkaa,,identifi religion troll religion mullah masjid hindu didnt celebr holi navratri,0,0,-0.4585,0,,
1.25E+18,92330822,DevaTRZ,TNdemandsMassTesting,intent less test week arrog answer came assembl w,-0.166666667,0.066666667,-0.4472,0,,
1.25E+18,1.12E+18,Prem06355240,TNdemandsMassTesting,intent less test week arrog answer came ass,-0.166666667,0.066666667,-0.4472,0,,
1.25E+18,9.42E+17,sfeanrdin_,,never stop wait heart still skip beat phone light still sin,0,0,-0.4468,0,,
1.25E+18,1.07E+18,sfeanrdin_,,never stop wait heart still skip beat phone light still sin,0,0,-0.4468,0,,
1.25E+18,2238033836,KarenMarieHart,,time thing time noth one laugh moment touch h,0.3,0.1,-0.4449,0,,
1.25E+18,1.10E+18,Gtoure5,,rememb night heart attack,0,0,-0.4404,0,,
1.25E+18,1193359380,captainuwu,,realli say anyth april fool shot movi comeback start co,0.2,0.2,-0.4404,0,,
1.25E+18,1577772109,ANI,,initi author said everyon would get ration lockdown later deni give christian also,0,0,-0.4404,0,,
1.25E+18,447824759,vignes22,,pay much complain food deco bride groom wear call old,0.15,0.2,-0.4404,0,,
1.25E+18,1.02E+18,"earnestviewer, peculiardei, dangzb",,naghahanap na naman ya ng kausap ano let keep starv attent badli want l,0.2,0.1,-0.4404,0,,
1.25E+18,7.89E+17,jimtankersley,,white hous economist project last septemb pandem unit state could kill k inflict,0,0.033333333,-0.4404,0,,
1.25E+18,3002671411,vignes22,,pay much complain food deco bride groom wear call old,0.15,0.2,-0.4404,0,,
1.25E+18,1886903790,myeonmehmeh,,power time jm tempo promo came kai amp even though us burden still less,-0.166666667,0.066666667,-0.4404,0,,
